Number,Journal tittle ,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online
308,Journal for the Study of Religion,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
309,Journal of Child and Adolescent Mental Health,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1
310,Journal of Consumer Sciences,African Journal Online (AJOL),0,0,0,0,1,1,1,0,0,1
311,"Journal of Endocri0logy, Metabolism and Diabetes of South Africa",African Journal Online (AJOL),0,1,0,1,1,1,1,0,1,1
312,Journal of Psychology in Africa,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1
313,Journal of Student Affairs in Africa,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1
314,Journal of the Musical Arts in Africa,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1
315,Journal of the Pan African Thoracic Society,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
316,Journal of the South African Society of Archivists,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
317,"Law, Democracy & Development",African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
318,Lexikos,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
319,Metamorphosis,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
320,New Agenda: South African Journal of Social and Eco0mic Policy,African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1
321,Obstetrics and Gynaecology Forum,African Journal Online (AJOL),1,1,1,1,0,0,1,0,0,1
322,ORiON,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
323,Ostrich: Journal of African Ornithology,African Journal Online (AJOL),0,0,0,0,0,0,1,1,0,1
324,Perspectives in Education,African Journal Online (AJOL),1,1,1,1,1,1,1,0,0,1
325,Philosophical Papers,African Journal Online (AJOL),0,1,0,1,0,0,0,0,0,1
326,Potchefstroom Electronic Law Journal/Potchefstroomse Elektroniese Regsblad,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
327,Quaestiones Mathematicae,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1
328,Research in Hospitality Management,African Journal Online (AJOL),1,0,0,1,1,0,1,1,0,1
329,SA Journal of Radiology,African Journal Online (AJOL),1,0,0,1,1,1,1,1,1,1
330,SAHARA-J: Journal of Social Aspects of HIV/AIDS,African Journal Online (AJOL),0,0,0,0,1,1,1,1,0,1
331,Scientia Militaria: South African Journal of Military Studies,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1
332,Shakespeare in Southern Africa,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
333,South African Actuarial Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
334,South African Crime Quarterly,African Journal Online (AJOL),1,0,0,1,1,1,0,0,1,1
335,South African Family Practice,African Journal Online (AJOL),1,1,1,1,1,1,1,1,1,1
336,South African Gastroenterology Review,African Journal Online (AJOL),1,1,1,1,0,0,1,0,1,1
337,"South African Journal for Research in Sport, Physical Education and Recreation",African Journal Online (AJOL),1,1,1,1,0,0,1,0,1,1
338,South African Journal of African Languages,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1
339,South African Journal of Agricultural Extension,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1
340,South African Journal of Animal Science,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
341,South African Journal of Bioethics and Law,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
342,South African Journal of Botany,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1
343,South African Journal of Chemistry,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
344,South African Journal of Child Health,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
345,South African Journal of Clinical Nutrition,African Journal Online (AJOL),1,1,1,1,1,0,1,1,0,1
346,South African Journal of Cultural History,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
347,South African Journal of Education,African Journal Online (AJOL),1,1,1,1,1,1,1,1,1,1
348,South African Journal of Geomatics,African Journal Online (AJOL),1,0,0,1,1,0,1,0,0,1
349,South African Journal of Higher Education,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1
350,South African Journal of Obstetrics and Gynaecology,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1
351,South African Journal of Philosophy,African Journal Online (AJOL),1,1,1,1,0,0,1,1,1,1
352,South African Journal of Plant and Soil,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1
353,South African Journal of Psychiatry,African Journal Online (AJOL),1,1,1,1,1,1,1,1,1,1
354,South African Journal of Science,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
355,South African Journal of Sports Medicine,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1
356,South African Journal of Surgery,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1
357,South African Medical Journal,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
358,South African Music Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
359,Southern African Business Review,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
360,Southern African Journal of Anaesthesia and Analgesia,African Journal Online (AJOL),1,1,1,1,1,0,1,1,0,1
361,Southern African Journal of Critical Care,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
362,Southern African Journal of Environmental Education,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
363,Southern African Journal of HIV Medicine,African Journal Online (AJOL),1,1,1,1,1,1,1,1,1,1
364,Southern African Linguistics and Applied Language Studies,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1
365,Southern Forests: a Journal of Forest Science,African Journal Online (AJOL),1,0,0,1,0,0,1,1,0,1
366,Stellenbosch Papers in Linguistics,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
367,Stellenbosch Papers in Linguistics Plus,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
368,Town and Regional Planning,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
369,Tydskrif vir letterkunde,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
370,Vulture News,African Journal Online (AJOL),0,0,0,0,1,0,1,0,0,1
371,Water SA,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
372,African Journal of Biotech0logy,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1
373,African Journal of Food and Nutritional Security,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1
374,"African Journal of Food, Agriculture, Nutrition and Development",African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
375,African Journal of Health Sciences,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1
